,movie,year,imdb,metascore,votes
428, Spider-Man: Far from Home,2019,7.4,69,553K
429, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
430, Ford v Ferrari,2019,8.1,81,465K
431, Jojo Rabbit,2019,7.9,58,439K
432, The Irishman,2019,7.8,94,429K
433, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
434, Midsommar,2019,7.1,72,399K
435, The Gentlemen,2019,7.8,51,391K
436, Shazam!,2019,7.0,71,383K
437, Marriage Story,2019,7.9,94,345K
438, Us,2019,6.8,81,339K
439, Uncut Gems,2019,7.4,93,316K
440, It Chapter Two,2019,6.5,58,300K
441, Alita: Battle Angel,2019,7.3,53,292K
442, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
443, Aladdin,2019,6.9,53,289K
444, Jumanji: The Next Level,2019,6.7,58,281K
445, Toy Story 4,2019,7.7,84,279K
446, El hoyo,2019,7.0,73,270K
447, The Lion King,2019,6.8,55,266K
448, Glass,2019,6.6,43,266K
449, Ad Astra,2019,6.5,80,259K
450, The Lighthouse,2019,7.4,83,253K
451, Little Women,2019,7.8,91,243K
452, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
453, Doctor Sleep,2019,7.3,59,217K
454, Dark Phoenix,2019,5.7,43,204K
455, Godzilla: King of the Monsters,2019,6.0,48,204K
456, Zombieland: Double Tap,2019,6.7,55,201K
457, 6 Underground,2019,6.1,41,196K
458, Rocketman,2019,7.3,69,194K
459, Frozen II,2019,6.8,64,193K
460,Joker,2019,8.4,59,1.5M
461,Avengers: Endgame,2019,8.4,78,1.3M
462,Parasite,2019,8.5,97,949K
463,Once Upon a Time... in Hollywood,2019,7.6,84,841K
464,Knives Out,2019,7.9,82,770K
465,1917,2019,8.2,78,670K
466,Captain Marvel,2019,6.8,64,608K
467, Spider-Man: Far from Home,2019,7.4,69,553K
468, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
469, Ford v Ferrari,2019,8.1,81,465K
470, Jojo Rabbit,2019,7.9,58,439K
471, The Irishman,2019,7.8,94,429K
472, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
473, Midsommar,2019,7.1,72,399K
474, The Gentlemen,2019,7.8,51,391K
475, Shazam!,2019,7.0,71,383K
476, Marriage Story,2019,7.9,94,345K
477, Us,2019,6.8,81,339K
478, Uncut Gems,2019,7.4,93,316K
479, It Chapter Two,2019,6.5,58,300K
480, Alita: Battle Angel,2019,7.3,53,292K
481, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
482, Aladdin,2019,6.9,53,289K
483, Jumanji: The Next Level,2019,6.7,58,281K
484, Toy Story 4,2019,7.7,84,279K
485, El hoyo,2019,7.0,73,270K
486, The Lion King,2019,6.8,55,266K
487, Glass,2019,6.6,43,266K
488, Ad Astra,2019,6.5,80,259K
489, The Lighthouse,2019,7.4,83,253K
490, Little Women,2019,7.8,91,243K
491, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
492, Doctor Sleep,2019,7.3,59,217K
493, Dark Phoenix,2019,5.7,43,204K
494, Godzilla: King of the Monsters,2019,6.0,48,204K
495, Zombieland: Double Tap,2019,6.7,55,201K
496, 6 Underground,2019,6.1,41,196K
497, Rocketman,2019,7.3,69,194K
498, Frozen II,2019,6.8,64,193K
499,Joker,2019,8.4,59,1.5M
500,Avengers: Endgame,2019,8.4,78,1.3M
501,Parasite,2019,8.5,97,949K
502,Once Upon a Time... in Hollywood,2019,7.6,84,841K
503,Knives Out,2019,7.9,82,770K
504,1917,2019,8.2,78,670K
505,Captain Marvel,2019,6.8,64,608K
506, Spider-Man: Far from Home,2019,7.4,69,553K
507, Star Wars: The Rise of Skywalker,2019,6.4,53,491K
508, Ford v Ferrari,2019,8.1,81,465K
509, Jojo Rabbit,2019,7.9,58,439K
510, The Irishman,2019,7.8,94,429K
511, John Wick: Chapter 3 - Parabellum,2019,7.4,73,423K
512, Midsommar,2019,7.1,72,399K
513, The Gentlemen,2019,7.8,51,391K
514, Shazam!,2019,7.0,71,383K
515, Marriage Story,2019,7.9,94,345K
516, Us,2019,6.8,81,339K
517, Uncut Gems,2019,7.4,93,316K
518, It Chapter Two,2019,6.5,58,300K
519, Alita: Battle Angel,2019,7.3,53,292K
520, El Camino: A Breaking Bad Movie,2019,7.3,72,290K
521, Aladdin,2019,6.9,53,289K
522, Jumanji: The Next Level,2019,6.7,58,281K
523, Toy Story 4,2019,7.7,84,279K
524, El hoyo,2019,7.0,73,270K
525, The Lion King,2019,6.8,55,266K
526, Glass,2019,6.6,43,266K
527, Ad Astra,2019,6.5,80,259K
528, The Lighthouse,2019,7.4,83,253K
529, Little Women,2019,7.8,91,243K
530, Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,235K
531, Doctor Sleep,2019,7.3,59,217K
532, Dark Phoenix,2019,5.7,43,204K
533, Godzilla: King of the Monsters,2019,6.0,48,204K
534, Zombieland: Double Tap,2019,6.7,55,201K
535, 6 Underground,2019,6.1,41,196K
536, Rocketman,2019,7.3,69,194K
537, Frozen II,2019,6.8,64,193K
538,Joker,2019,8.4,59,1.5M
539,Avengers: Endgame,2019,8.4,78,1.3M
540,Parasite,2019,8.5,97,949K
